gen,child,eps,Rg,err
1,1,[1.908700 2.471080 0.494025 0.917543 1.395076 0.277247 1.478250 1.126434 0.119503 1.592734 1.088432 0.651291 1.793499 0.882409 0.889101],20.187120,15.812880
1,2,[0.605402 0.199331 1.008843 0.777008 0.736138 2.300191 1.076243 2.704828 1.650335 2.329350 0.755736 2.650335 1.776052 1.665392 2.107553],13.100122,22.899878
1,3,[0.391013 0.953633 1.665153 0.721319 2.332218 2.168499 2.370459 0.774857 0.873327 2.915392 1.664914 1.303059 0.199331 1.519359 1.265535],11.848959,24.151041
1,4,[1.347514 2.613528 1.284895 1.620937 0.223470 1.257648 1.332696 1.831740 0.131453 1.822658 0.145793 1.718690 0.212715 2.150096 1.770793],19.316528,16.683472
1,5,[2.132887 1.009799 2.705067 0.745220 1.474187 1.363289 2.064532 0.515057 1.860182 2.294455 2.549235 1.422084 0.761233 1.059034 2.915392],18.277299,17.722701
1,6,[0.536568 1.819073 1.129302 3.693595 0.767208 2.379780 0.759560 2.291109 1.673518 2.084130 2.697419 0.827199 1.284417 1.259082 1.170172],18.738954,17.261046
1,7,[2.082935 0.362333 1.449809 1.462954 0.353728 1.666826 0.443356 1.143642 2.311185 0.725860 3.286329 1.494025 0.947419 0.862333 2.426386],20.978277,15.021723
1,8,[0.742591 0.742113 0.728250 2.262906 1.036568 1.888623 0.310707 1.331740 1.009321 0.722036 1.876673 1.255258 0.321463 2.185468 1.360899],14.281378,21.718622
1,9,[1.841300 2.005975 1.315249 2.888623 1.307839 0.499761 1.741157 2.536807 0.797084 0.496654 2.114962 3.057839 0.164436 0.949570 0.798279],19.324908,16.675092
1,10,[0.317400 2.202916 0.879302 2.888623 0.131453 2.042543 2.609465 1.427820 1.264818 2.143642 0.797084 0.825526 1.703872 0.437380 1.451243],15.524197,20.475803
1,11,[1.822658 2.700765 2.173757 2.705067 1.955545 1.323136 0.699331 1.941444 1.786807 1.681405 1.818117 2.945029 0.131453 1.117113 2.888623],17.307043,18.692957
1,12,[0.563098 1.188815 0.806883 2.969407 0.515057 0.928537 0.953633 0.294694 2.219646 2.422084 0.920172 3.012906 0.154159 0.485182 1.239723],15.941920,20.058080
2,1,[0.525574 0.685229 1.790153 3.738050 1.007409 2.357553 0.652964 0.958652 2.282505 1.298279 2.175191 0.639101 1.688815 1.526291 1.603728],15.434265,20.565735
2,2,[1.472275 0.521033 2.143881 0.162524 1.123088 0.409895 0.774857 1.103728 0.585564 1.528681 1.657266 1.445507 1.953155 1.762667 1.839866],15.111991,20.888009
2,3,[1.151291 2.341539 2.415870 1.866874 1.584608 3.569312 0.157505 1.834847 0.857553 0.749761 2.207457 2.112811 0.896272 1.856119 2.135038],19.281492,16.718508
2,4,[1.868786 0.957457 0.868308 1.470124 0.544933 0.399140 2.485421 2.663002 1.870220 0.567161 1.401291 0.699331 0.951482 1.573136 2.227772],15.577280,20.422720
2,5,[1.241635 1.635516 0.838910 1.358031 1.321224 1.778442 1.543738 2.085803 0.912524 0.837237 2.483031 0.820507 1.795172 0.741874 0.634321],15.621373,20.378627
2,6,[1.485182 0.976338 1.589149 0.802581 2.138145 1.779159 1.858509 0.349665 1.097036 0.119503 1.778442 2.782505 0.388384 0.329350 2.527964],15.542978,20.457022
2,7,[2.679732 2.256692 1.802581 1.736855 0.870937 1.018642 0.898901 1.660851 0.387189 3.476577 3.057839 2.170889 1.134082 1.670411 1.130975],17.654828,18.345172
2,8,[3.361138 0.956023 1.002868 2.352772 1.028920 0.583891 0.845602 1.091300 1.115440 1.695029 1.728250 1.474187 0.411329 1.627868 1.081023],21.621171,14.378829
